resolution_label,position_res,rotation_res,stage,seed,path_found,success,runtime_s,category,coarse_joint_continuity_max_delta_rad,final_joint_continuity_max_delta_rad,refinement_used,collision_check_time_s,endpoint_ik_time_s,feature_time_s,sample_time_s,nearest_time_s,ik_time_s,goal_test_time_s,extend_tree_time_s,refinement_time_s,attempts,iterations,nodes_created,poses_checked,collision_hits,ik_calls,ik_failures,nodes_with_ik,continuity_rejections,refinement_passes,refinement_waypoints,refinement_used
pos=0.015m rot=0.040rad,0.015,0.04,1,0,1,1,0.0388,success,0.0,0.0,0.0,1e-06,0.0,2.2e-05,0.000264,0.020958,0.0,0.000545,0.016684,0.0,1.0,18.0,940.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,1,1,1,1,0.0266,success,0.0,0.111019,0.0,1e-06,0.0,2.4e-05,0.000221,0.013111,0.0,0.000301,0.012758,0.0,1.0,21.0,1055.0,1054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,1,2,1,1,0.0025,success,0.0,0.0,0.0,1e-06,0.0,1.8e-05,2.2e-05,0.000141,0.0,5.4e-05,0.00221,0.0,1.0,2.0,178.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,1,3,1,1,0.0012,success,0.0,0.0,0.0,0.0,0.0,1.7e-05,3e-06,1.8e-05,0.0,3.5e-05,0.001035,0.0,1.0,1.0,81.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,1,4,1,1,0.0616,success,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.000416,0.038474,0.0,0.000536,0.021838,0.0,1.0,38.0,1775.0,1774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,2,0,0,0,3.0827,continuity_failure,0.0,0.0,0.0,1e-06,0.0,6.5e-05,0.001354,0.100112,2.929025,8.4e-05,2.977669,0.0,1.0,93.0,880.0,967.0,0.0,2013.0,158.0,888.0,9.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,2,1,1,1,1.4679,success,0.128724,0.128724,0.0,0.0,0.0,4.4e-05,0.000333,0.007113,1.441789,3.1e-05,1.460128,0.0,1.0,21.0,565.0,583.0,0.0,1183.0,34.0,566.0,2.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,2,2,0,0,3.0024,continuity_failure,0.0,0.0,0.0,0.0,0.0,1.7e-05,0.000992,0.047255,2.919136,4.2e-05,2.953515,0.0,1.0,88.0,941.0,1023.0,0.0,2121.0,152.0,947.0,7.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,2,3,0,0,3.026,continuity_failure,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.000944,0.062714,2.92572,5.3e-05,2.961418,0.0,1.0,89.0,1030.0,1112.0,0.0,2295.0,144.0,1040.0,11.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,2,4,1,1,1.9253,success,0.198037,0.198037,0.0,0.0,0.0,3e-05,0.000454,0.015909,1.886849,5.1e-05,1.90849,0.0,1.0,38.0,659.0,692.0,0.0,1414.0,60.0,662.0,4.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,3,0,1,1,1.9748,success,0.19905,0.19905,0.0,0.001615,0.0,3e-05,0.001619,0.039622,1.607503,6.4e-05,1.931222,0.0,1.0,93.0,349.0,439.0,47.0,907.0,58.0,410.0,15.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,3,1,1,1,0.7117,success,0.128724,0.128724,0.0,0.001254,0.0,1.8e-05,0.000243,0.003945,0.521993,4.3e-05,0.70595,0.0,1.0,21.0,302.0,321.0,16.0,646.0,8.0,317.0,0.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,3,2,1,1,0.9959,success,0.110515,0.110515,0.0,0.001244,0.0,1.8e-05,0.000517,0.006341,0.763776,5e-05,0.9875,0.0,1.0,37.0,353.0,387.0,22.0,782.0,16.0,379.0,5.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,3,3,0,0,1.9749,collision_failure,0.0,0.0,0.0,0.001253,0.0,1.8e-05,0.001082,0.032634,1.629918,2.5e-05,1.939223,0.0,1.0,100.0,451.0,548.0,60.0,1126.0,60.0,518.0,8.0,0.0,0.0,0.0
pos=0.015m rot=0.040rad,0.015,0.04,3,4,1,1,1.119,success,0.198037,0.198037,0.0,0.001249,0.0,1.7e-05,0.00044,0.007521,0.897036,2.2e-05,1.109586,0.0,1.0,38.0,343.0,379.0,18.0,774.0,32.0,363.0,3.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,1,0,1,1,0.0581,success,0.0,0.0,0.0,1e-06,0.0,2.4e-05,0.000273,0.031921,0.0,0.000569,0.025022,0.0,1.0,18.0,1433.0,1432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,1,1,1,1,0.041,success,0.0,0.074331,0.0,0.0,0.0,1.8e-05,0.000239,0.020087,0.0,0.000351,0.020006,0.0,1.0,21.0,1610.0,1609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,1,2,1,1,0.0038,success,0.0,0.0,0.0,0.0,0.0,1.9e-05,2.5e-05,0.000204,0.0,5.9e-05,0.003346,0.0,1.0,2.0,272.0,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,1,3,1,1,0.0019,success,0.0,0.0,0.0,1e-06,0.0,2.8e-05,3e-06,2.1e-05,0.0,3.6e-05,0.001765,0.0,1.0,1.0,127.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,1,4,1,1,0.0937,success,0.0,0.0,0.0,0.0,0.0,1.8e-05,0.000412,0.059202,0.0,0.000601,0.032993,0.0,1.0,38.0,2730.0,2729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,2,0,1,0,2.5795,collision_failure,0.179201,0.179201,0.0,1e-06,0.0,2.4e-05,0.000776,0.037979,2.497126,0.000114,2.540012,0.0,1.0,45.0,799.0,840.0,0.0,1720.0,80.0,800.0,2.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,2,1,1,1,1.9602,success,0.094923,0.094923,0.0,0.0,0.0,2.5e-05,0.000301,0.010554,1.922652,3e-05,1.948891,0.0,1.0,21.0,869.0,887.0,0.0,1791.0,36.0,869.0,1.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,2,2,1,0,2.0961,collision_failure,0.142829,0.142829,0.0,0.0,0.0,1.9e-05,0.000432,0.018669,2.046772,4.1e-05,2.076517,0.0,1.0,37.0,909.0,942.0,0.0,1915.0,62.0,911.0,3.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,2,3,0,0,3.0352,continuity_failure,0.0,0.0,0.0,0.0,0.0,3e-05,0.000566,0.032892,2.961252,3.3e-05,3.000802,0.0,1.0,46.0,1198.0,1239.0,0.0,2517.0,78.0,1200.0,3.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,2,4,0,0,3.0182,continuity_failure,0.0,0.0,0.0,0.0,0.0,1.9e-05,0.000679,0.044044,2.934841,3.3e-05,2.972418,0.0,1.0,57.0,1115.0,1167.0,0.0,2386.0,104.0,1115.0,1.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,3,0,1,1,2.2876,success,0.157644,0.157644,0.0,0.001569,0.0,2.6e-05,0.001385,0.050393,1.829861,6.6e-05,2.23361,0.0,1.0,93.0,462.0,552.0,57.0,1132.0,56.0,524.0,6.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,3,1,1,1,1.0232,success,0.094923,0.094923,0.0,0.001254,0.0,1.8e-05,0.000266,0.00575,0.734801,3e-05,1.015643,0.0,1.0,21.0,461.0,480.0,16.0,964.0,8.0,476.0,0.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,3,2,1,1,1.4058,success,0.068671,0.068671,0.0,0.001261,0.0,1.8e-05,0.000403,0.00845,1.072979,3.4e-05,1.395368,0.0,1.0,37.0,524.0,558.0,22.0,1127.0,22.0,547.0,2.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,3,3,1,1,2.8273,success,0.186273,0.186273,0.0,0.001318,0.0,2e-05,0.000936,0.041566,2.293384,4.3e-05,2.782943,0.0,1.0,84.0,773.0,854.0,47.0,1740.0,64.0,822.0,3.0,0.0,0.0,0.0
pos=0.010m rot=0.025rad,0.01,0.025,3,4,1,1,1.371,success,0.191905,0.191905,0.0,0.00121,0.0,1.7e-05,0.000444,0.011333,1.060548,2.1e-05,1.357677,0.0,1.0,38.0,474.0,510.0,26.0,1031.0,22.0,499.0,0.0,0.0,0.0,0.0
